12.69	1.86	15.80	22.56	7.27	45.66	128.51	7291
12.85	1.80	16.23	23.65	6.71	42.56	126.12	6897
13.20	1.83	14.20	23.10	6.68	44.54	124.20	6858
13.61	1.80	15.23	23.92	6.25	42.78	132.24	6540
13.51	1.74	14.76	23.93	6.32	47.46	127.90	6540
13.75	1.83	13.50	24.65	6.33	42.82	125.79	6411
13.38	1.80	12.88	23.59	6.37	40.28	132.54	6351
13.55	1.80	14.13	24.48	6.47	38.00	133.65	6297
13.63	1.83	14.28	24.86	6.11	42.20	136.05	6252
13.25	1.77	12.62	23.59	6.28	39.06	134.74	6252
13.75	1.86	13.01	25.03	6.34	37.86	131.49	6205
13.24	1.80	12.88	23.59	6.37	40.28	132.54	6171
13.85	1.86	11.58	24.87	6.05	47.50	134.93	6137
13.71	1.83	13.16	24.78	6.12	44.58	142.82	6109
13.79	1.80	12.32	24.61	6.08	45.44	137.06	6101
13.93	1.86	14.21	25.00	6.40	38.60	146.67	6087
13.47	1.80	12.75	25.47	6.34	35.76	138.48	5975
14.07	1.83	12.69	24.83	6.13	44.34	146.43	5972
14.39	1.71	12.68	24.92	6.10	37.76	138.02	5746
14.04	1.77	11.81	25.61	5.99	35.68	133.90	5734
14.31	1.77	11.66	25.69	5.75	39.48	133.35	5686
14.23	1.71	12.95	25.50	5.50	39.64	144.02	5508
14.85	1.68	10.00	25.23	5.47	39.14	137.30	5290
14.53	1.71	10.83	26.61	5.50	39.26	139.17	5289
16.42	1.50	11.78	26.16	4.88	46.38	163.43	4566
