39	94	2	2	2	2	2	4.9
41	89	2	2	2	2	2	2.2
42	83	3	3	3	2	2	4.0
30	99	2	2	2	2	2	-2.6
35	94	2	1	1	2	1	-0.3
44	90	*	1	2	1	1	0.9
31	94	2	2	*	2	2	-1.5
39	87	3	2	2	2	1	3.5
35	*	3	2	2	2	2	-1.2
33	92	2	2	2	2	2	0.8
38	92	2	1	1	1	1	-1.9
31	94	2	2	2	*	1	5.5
40	91	3	2	2	2	1	2.7
44	86	2	2	2	2	2	4.4
43	90	3	2	2	2	2	3.2
32	*	1	1	1	2	1	-1.5
32	91	1	2	2	*	1	-1.9
43	82	4	3	2	2	2	8.3
46	86	3	2	2	2	2	3.6
30	88	2	2	2	2	1	1.4
34	97	3	3	*	2	2	*
37	96	3	2	2	2	1	*
35	95	2	1	2	2	1	-1.0
45	87	2	2	2	2	2	6.5
35	103	2	2	2	2	1	-2.1
31	*	2	2	2	2	1	-0.4
32	91	2	2	2	2	1	-1.9
44	87	2	2	2	2	2	3.7
40	91	3	3	2	2	2	4.5
42	89	3	3	2	2	2	4.2
